epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,741.423,1.49692,2.21327,1.79137,0.43083,0.10705,0.05198,0.02305,2.03623,3.048,2.47647,0.0700121,0.00333199,0.00333199
2,1538.14,1.33077,1.90563,1.64875,0.3784,0.25909,0.16853,0.09049,1.51665,2.14689,1.93781,0.0399387,0.00659201,0.00659201
3,2269,1.22753,1.74161,1.57442,0.37118,0.2447,0.18488,0.10546,1.43882,1.92433,1.81494,0.00979209,0.00977869,0.00977869
4,2994.51,1.15774,1.63792,1.52273,0.31495,0.31268,0.23748,0.13314,1.40038,1.73929,1.781,0.00967,0.00967,0.00967
5,3721.82,1.10794,1.54061,1.48911,0.42244,0.43217,0.31876,0.17529,1.41627,1.67584,1.78067,0.00956,0.00956,0.00956
6,4449.82,1.07687,1.47346,1.4594,0.52633,0.34422,0.35246,0.20129,1.33823,1.54344,1.71208,0.00945,0.00945,0.00945
7,5180.55,1.05502,1.43448,1.44699,0.34619,0.39037,0.3804,0.21682,1.31476,1.48036,1.69831,0.00934,0.00934,0.00934
8,5912.8,1.03656,1.37933,1.42968,0.58615,0.4215,0.41993,0.24412,1.3065,1.35995,1.6768,0.00923,0.00923,0.00923
9,6653,1.01819,1.35403,1.41907,0.51821,0.44416,0.4389,0.2567,1.27832,1.36354,1.64417,0.00912,0.00912,0.00912
10,7358.04,1.00488,1.30765,1.40697,0.54036,0.44654,0.45628,0.2639,1.27616,1.27308,1.63499,0.00901,0.00901,0.00901
11,8051.45,0.99126,1.27663,1.39305,0.45912,0.4793,0.48133,0.27965,1.26164,1.24963,1.62497,0.0089,0.0089,0.0089
12,8742.72,0.97867,1.25641,1.3864,0.66741,0.45292,0.50401,0.29751,1.25189,1.22609,1.61936,0.00879,0.00879,0.00879
13,9434.63,0.96482,1.22143,1.37643,0.57836,0.49356,0.5233,0.31094,1.23553,1.1815,1.59845,0.00868,0.00868,0.00868
14,27603,0.95738,1.2063,1.37028,0.68012,0.47011,0.54053,0.32723,1.23089,1.13631,1.60041,0.00857,0.00857,0.00857
15,28382.5,0.95066,1.17945,1.3655,0.7035,0.4724,0.56623,0.33586,1.227,1.11478,1.58205,0.00846,0.00846,0.00846
16,29107.2,0.93545,1.16335,1.35705,0.61097,0.53366,0.57089,0.34907,1.21894,1.08634,1.5751,0.00835,0.00835,0.00835
17,29831.5,0.93078,1.15049,1.35283,0.56657,0.5725,0.59525,0.35447,1.20844,1.06214,1.56276,0.00824,0.00824,0.00824
18,30567.7,0.92335,1.12262,1.34759,0.64695,0.55751,0.61735,0.37374,1.20233,1.03785,1.56334,0.00813,0.00813,0.00813
19,31291.5,0.92424,1.11635,1.34507,0.56945,0.59014,0.60384,0.36576,1.19993,1.02684,1.55084,0.00802,0.00802,0.00802
20,32022,0.90693,1.08881,1.33159,0.6811,0.57847,0.64307,0.3946,1.19129,1.00392,1.54374,0.00791,0.00791,0.00791
21,32753.1,0.9025,1.07273,1.32735,0.68882,0.56359,0.6449,0.3919,1.19264,0.98986,1.54741,0.0078,0.0078,0.0078
22,33478.4,0.90042,1.06266,1.32625,0.70539,0.59711,0.66843,0.40897,1.1906,0.97447,1.5463,0.00769,0.00769,0.00769
23,34201.8,0.89284,1.04418,1.32108,0.69162,0.60949,0.67751,0.41422,1.19053,0.96551,1.53887,0.00758,0.00758,0.00758
24,34926,0.88252,1.03091,1.31493,0.70034,0.63509,0.7002,0.42669,1.182,0.94137,1.533,0.00747,0.00747,0.00747
25,35650.5,0.89004,1.01952,1.31423,0.71748,0.63749,0.70237,0.4307,1.17594,0.93091,1.52493,0.00736,0.00736,0.00736
26,36374.4,0.87367,0.99906,1.3056,0.70143,0.63592,0.68073,0.41604,1.17207,0.91577,1.52087,0.00725,0.00725,0.00725
27,37097.1,0.8738,0.99711,1.30165,0.74112,0.63551,0.7174,0.44418,1.1724,0.90874,1.51588,0.00714,0.00714,0.00714
28,37876.1,0.87055,0.9835,1.30231,0.73467,0.63932,0.72477,0.44421,1.17234,0.89324,1.51474,0.00703,0.00703,0.00703
29,38663.3,0.86112,0.96318,1.29624,0.7526,0.62397,0.71952,0.45024,1.16115,0.88716,1.50567,0.00692,0.00692,0.00692
30,39437.7,0.85805,0.95757,1.29449,0.71345,0.66617,0.72904,0.45371,1.16407,0.8685,1.51122,0.00681,0.00681,0.00681
31,40161.3,0.85428,0.95539,1.29102,0.75986,0.63088,0.71936,0.44607,1.15979,0.86384,1.50352,0.0067,0.0067,0.0067
32,40878.7,0.85063,0.93957,1.28696,0.74758,0.66211,0.72802,0.4516,1.15841,0.85557,1.50702,0.00659,0.00659,0.00659
33,41596,0.84946,0.93254,1.28785,0.78861,0.64078,0.73916,0.46314,1.15668,0.85054,1.50508,0.00648,0.00648,0.00648
34,42314.6,0.84258,0.92068,1.2816,0.78449,0.64718,0.74575,0.46932,1.15383,0.84681,1.50146,0.00637,0.00637,0.00637
35,43032,0.83973,0.91469,1.28006,0.78728,0.65603,0.75175,0.47114,1.1504,0.83733,1.49893,0.00626,0.00626,0.00626
36,43773.7,0.83332,0.90427,1.27381,0.75925,0.66539,0.74691,0.47029,1.14708,0.83217,1.49649,0.00615,0.00615,0.00615
37,44506.3,0.83182,0.90009,1.27353,0.7599,0.66998,0.75309,0.47882,1.14433,0.82731,1.49158,0.00604,0.00604,0.00604
38,45243,0.82314,0.88771,1.26882,0.75359,0.68708,0.75603,0.47996,1.1416,0.82215,1.4868,0.00593,0.00593,0.00593
